漢字,羅馬字,詞性/解說
頭旬,thâu-sûn,[時間詞] 頭七。人死後第七天。
頭尾,thâu-bóe/thâu-bé,"[名詞] 事情的始末。
[副詞] 前後。"
頭到,thâu-kàu,[形容詞] 首先到達的。
頭帛,thâu-pe̍h,[名詞] 孝巾。喪禮時死者親屬綁在頭上的白布。
頭拄仔,thâu-tú-á,[副詞] 剛才、剛剛。
頭前,thâu-chêng,[方位詞] 前面、前方。指空間、次序上比較先的。
頷垂,ām-sê,[名詞] 圍兜。小孩子穿掛在胸前，用來承接口水，防止衣服弄髒的衣物。
頭胎,thâu-the,[名詞] 第一胎。
頭面,thâu-bīn,[名詞] 臉色。
頭家,thâu-ke,"[名詞] 老闆、僱主。
[名詞] 丈夫、先生。"
頭家娘,thâu-ke-niû,[名詞] 老闆娘。稱呼老闆的太太。
頭疼,thâu-thiàⁿ,"[名詞] 頭痛。頭部因為外傷或其他因素所引起的疼痛。
[形容詞] 比喻事情很麻煩、難以解決，令人感到煩惱或討厭。"
頭眩目暗,thâu-hîn-ba̍k-àm,[熟語] 頭暈目眩、頭昏眼花。頭腦昏沈，視覺模糊。
頷胿,ām-kui,[名詞] 脖子的前面部分。
頭起先,thâu-khí-seng,[副詞] 起初、剛開始。
頭陣,thâu-tīn,[名詞] 最前面的隊伍、先鋒。
骿條骨,phiaⁿ-liâu-kut,[名詞] 肋骨。人或高等動物胸腔兩側弓形的扁骨。前端有軟骨連接兩邊，後端和脊柱相接，形成胸廓，有保護胸腔內臟及控制呼吸的作用。
頭殼,thâu-khak,"[名詞] 頭顱、腦袋。
[名詞] 頭腦、腦筋。"
頭殼碗,thâu-khak-óaⁿ,[名詞] 頭蓋骨。位於脊椎動物的頭部，以八片扁平骨合成，具有保護腦髓的作用。
頭殼額仔,thâu-khak-hia̍h-á,[名詞] 額頭。眉毛上方，頭髮下方的部分。
頭殼髓,thâu-khak-chhóe/thâu-khak-chhé,[名詞] 腦髓、頭髓。
頭腦,thâu-náu/thâu-nó͘,"[名詞] 頭顱。
[名詞] 腦筋、思想。"
頷腮,ām-chhi,[名詞] 耳朵的下方，腮頰的後方部分。
頭路,thâu-lō͘,[名詞] 職業、工作。
頷領,ām-niá,[名詞] 領子。衣服領圍的部分。
餡餅,āⁿ-piáⁿ,[名詞] 包有綠豆沙、紅豆沙等餡料的油酥餅，可以當作禮餅。
駱駝,lo̍k-tô,[名詞] 哺乳動物。身形高大，背有駝峰，分為單峰與雙峰。腳蹄厚，適合在沙漠中行走，具有高度耐飢渴的能力，可供騎乘與載貨，是沙漠中的主要負重動物。
頭麩,thâu-pho͘,[名詞] 頭皮屑。一種頭部皮膚的分泌物，成碎屑狀。
骿條,phiaⁿ-liâu,[名詞] 里肌肉。
頷頸,ām-kún,[名詞] 脖子。
頭摠,thâu-cháng,"[名詞] 髮髻。將頭髮挽成束然後盤起來的髮式。
[名詞] 頭緒、線索。"
頭擺,thâu-pái,[名詞] 頭一次、第一次。
頭額,thâu-hia̍h,[名詞] 額頭。眉毛上方，頭髮下方的部分。
頭鬃,thâu-chang,[名詞] 頭髮。從前指可以梳辮子的長髮，現在一般指頭髮。
頭鬃尾,thâu-chang-bóe/thâu-chang-bé,"[名詞] 辮子。頭髮分綹然後互相纏繞成長條狀。
[名詞] 馬尾。頭髮用繩子紮起來，形狀像馬的尾巴。"
頭鬃箍仔,thâu-chang-kho͘-á,[名詞] 髮箍。
鴨,ah,[名詞] 常見家禽的一種。嘴扁平，腳短，趾間有蹼，擅長游水，飛行能力差，蛋、肉皆可食。
黗,thûn,[名詞] 黑煙的細微顆粒，用於表示累積的煙垢。
龍,lêng,"[名詞] 中國古代傳說中的神異動物。十二生肖排序第五的生肖。
[名詞] 人工仿製之龍形器物，節慶時由多人耍弄之陣式。"
龍,liông,"[名詞] 中國古代傳說中的神異動物。十二生肖排序第五的生肖。
[名詞] 人工仿製之龍形器物。"
龜,ku,"[名詞] 爬蟲類動物。身體呈橢圓而扁，腹、背皆有硬殼，四肢短，頭、尾和四肢都可縮入殼中。行動遲緩，壽命長達百年之上。其肉可食，殼可入藥。
[名詞] 製作成龜形的糕品。"
龜毛,ku-mo͘,[形容詞] 用來形容人對小事情優柔寡斷、猶豫不決，或者有一些莫名其妙的堅持。
鴨仔,ah-á,[名詞] 鴨、鴨子。常見家禽的一種。嘴扁平，腳短，趾間有蹼，擅長游水。
鴨仔囝,ah-á-kiáⁿ,[名詞] 小鴨子。
鴨仔癉,ah-á-tan,[名詞] 瘦弱、發育不良的鴨子。
鴨母,ah-bó,[名詞] 母鴨。
鴨母喙,ah-bó-chhùi,[名詞] 母鴨的嘴。
鴨母蹄,ah-bó-tê,[名詞] 扁平足。病名。一種內縱足弓平坦的病。形成的原因有先天和後天兩種因素。罹患此病，腳掌會向外側旋轉，以致足弓消失，腳心扁平，形成八字腳。
鴨卵,ah-nn̄g,[名詞] 鴨蛋。
鴨咪仔,ah-bî-á,[名詞] 小鴨子。
龜祟,ku-sui,[形容詞] 不乾脆。
龍脈,liông-me̍h,"[名詞] 山脈。
[名詞] 地脈。指土地的脈絡、地形的走勢。後指風水師形容地形的好壞。"
龍骨,liông-kut,"[名詞] 脊椎骨。
[名詞] 一種中藥。古代動物骨骼的化石，有鎮靜、收斂的功效。
[名詞] 船體的中樑。"
龍眼,lêng-géng,[名詞] 木本植物。樹皮為黃褐色或灰褐色，四月開花，果實為黃褐色，肉白色透明，甜美可食。
龍眼乾,lêng-géng-koaⁿ,[名詞] 龍眼乾。曬乾的龍眼果肉，也可指曬乾的龍眼(含殼)，可直接食用或泡茶等。
龍船,lêng-chûn,[名詞] 龍舟。龍形的船，端午節時用來做競技比賽。
鮑魚,pau-hî/pau-hû,[名詞] 黑鮑、石決明。軟體動物。外殼為橢圓形，肉為扁平形狀像耳朵，生活在淺海岩礁底，肉可食，外殼可入藥。
鴨掌,ah-chiúⁿ,[名詞] 鴨子的足掌。
龜殼,ku-khak,[名詞] 烏龜的硬殼。
龜殼花,ku-khak-hoe,[名詞] 爬蟲類動物。是臺灣常見的出血性毒蛇，頭部成明顯的大三角形，背部為黃褐色或棕褐色，有不規則的黑色斑塊，形狀像龜殼花紋。是保育類動物。
鴨雄仔,ah-hêng-á,[名詞] 小公鴨。還沒成熟的公鴨。
龜跤,ku-kha,"[名詞] 龜腳。烏龜的腳。
[名詞] 破綻、露馬腳。暴露出真相或漏洞。"
龜精,ku-chiaⁿ,"[名詞] 烏龜幻化成的精怪。
[名詞] 老賊。狡猾、老謀深算的人。
[名詞] 形容人長壽，具有貶損的意思。
[名詞] 男妓、午夜牛郎。
[名詞] 穿奇裝異服的人。"
龍鳳,liông-hōng,[名詞] 吉祥物，指龍與鳳凰，用來比喻夫妻。
龍蝦,lêng-hê,[名詞] 動物名。節肢動物，以甲殼類、貝類等為食，棲息於近海。身長七、八寸至一尺許，體赤褐色，眼一對，觸角兩對。是餐廳高級的食用蝦類。
鴛鴦,oan-iuⁿ,"[名詞] 禽鳥類。體型比鴨小，雄者為鴛，羽毛美麗，頭上有紫黑色的羽冠，翅膀的上方呈現黃褐色；雌的為鴦，全身呈現蒼褐色。棲息於池沼之中。
[名詞] 用來比喻夫妻或者情侶。
[形容詞] 用來指成對的物品。"
鴨鵤,ah-kak,[名詞] 公鴨。
鴨羶,ah-hiàn,[名詞] 鴨子尾部的性器特有的一股羶味。
龜蠅,ku-sîn,[名詞] 蚜蟲。動物名。喜歡棲息在植物的根、莖、葉上，以吸食汁液維生，而使植物枯萎，因此被視為害蟲。
鴨鯗,ah-siúⁿ,[名詞] 板鴨。用鹽醃漬壓扁再風乾的鴨子，是宜蘭的名產。
鮕鮘,ko͘-tai,[名詞] 臺灣鱧魚、七星鱧。魚名。性兇猛且好吃，為肉食性魚類，是一種生命力很強的淡水魚。
嚇,háⁿ,[動詞] 恐嚇、嚇唬。
嚇,heh,[動詞] 使人害怕。
嚓,chhia̍k,"[擬聲詞] 短促的嚓嚓聲，如按相機快門或搖晃籤筒發出的聲音。
[動詞] 因為驚嚇而心悸。"
優先,iu-sian,[動詞] 在次序上先實行。
優秀,iu-siù,[形容詞] 才能出眾。
優待,iu-thāi,[動詞] 給與優厚的待遇。
優美,iu-bí,[形容詞] 優雅、美好。形容人、事物、動作優婉嫻雅，令人產生舒服的美感。
嚓嚓趒,chhia̍k-chhia̍k-tiô,"[動詞] 活蹦亂跳。朝氣蓬勃的樣子。
[動詞] 雀躍。比喻心中非常歡喜。"
優點,iu-tiám,[名詞] 好處、長處。
嚇驚,heh-kiaⁿ,[動詞] 恫嚇。用言語或行為嚇人，使人害怕。
壓,ah,[動詞] 壓抑或是用威權強力要別人服從。
嶺,niá,[名詞] 有道路可通的山頂。
幫,pang,"[名詞] 同性質的人為特定目的組成的團體。
[量詞] 計算成批成群事物的單位。
[量詞] 班。計算車次的單位。"
幫,png,"[動詞] 分租。
[動詞] 擴張、擴大。"
應,ìn,"[動詞] 回答、應答。
[動詞] 回聲。
[動詞] 言語頂撞。"
戲,hì,[名詞] 戲劇的總稱。
戴,tì,[動詞] 頭上戴物。
擘,peh,"[動詞] 用兩手指把東西分開、剝開。
[動詞] 張開、睜開。"
擠,chek,"[動詞] 用力從一個小洞縫中壓出東西。
[動詞] 手腳關節受突然的壓力，來不及伸展而受傷。"
擢,tioh,"[動詞] 輕輕拉動。
[動詞] 拉平、拉直，多用來指整理衣物。"
擤,chhèng,[動詞] 捏著鼻子，將鼻涕用力排出來。
擦,chhat,"[動詞] 擦拭。
[動詞] 磨擦。"
擠𤶃仔,chek thiāu-á,[動詞] 擠青春痘。
壓力,ap-le̍k,[名詞] 心裡或生理上受到脅迫所引起緊張不安的狀況，使人感到痛苦及不愉快。
應公仔,èng-kong-á,[名詞] 在墓場的某處發現的無主骨灰，供起來參拜的對象。
戲文,hì-bûn,"[名詞] 戲目。戲劇名稱。
[名詞] 戲詞、腳本。戲曲或電影的底稿、演戲時演員的說白。"
嬰仔,eⁿ-á/iⁿ--á,[名詞] 嬰兒。初生的幼兒。
應付,èng-hù,[動詞] 設法對付或敷衍。
嬰母仔,ìⁿ-bó-á,[名詞] 處女蟳。體內飽含卵膏(蟹黃)，但是還沒有交配的母蟳，肉質鮮嫩。
應用,èng-iōng,"[動詞] 運用。切合實用，運用在實際的事物上。
[動詞] 實用。"
幫忙,pang-bâng,[動詞] 幫助他人做事或解決困難。
戲曲,hì-khek,"[名詞] 傳統的戲曲形式，例如崑曲、京劇和各種地方戲，通常以歌唱、舞蹈為主要表演手段。
[名詞] 雜劇或傳奇的唱詞。"
擢舌根,tioh-chi̍h-kin/tioh-chi̍h-kun,[名詞] 大舌頭。病名。因為舌繫帶太短，而導致口齒不清楚，發音不標準，可以開刀改善。
幫助,pang-chō͘,[動詞] 為別人出力、出主意，給予物質上、精神上的支援。
戲弄,hì-lāng,"[動詞] 以輕浮不莊重的行為調戲他人。
[動詞] 取笑、愚弄他人藉以取樂。"
懇求,khún-kiû,[動詞] 誠懇真摯的請求。
壓味,ah-bī,[動詞] 調味去腥。
擘金,peh-kim,[動詞] 張眼。把眼睛張開。
壓迫,ap-pek,[動詞] 壓制逼迫。
應效,èng-hāu,"[名詞] 效用、效果。
[名詞] 應驗。"
戲班,hì-pan,[名詞] 戲團、劇團。以表演戲劇為目的所組成的團體。
戲院,hì-īⁿ,"[名詞] 劇場。供人演戲的地方。
[名詞] 電影院。"
應喙,ìn-chhùi,[動詞] 頂嘴、還嘴、爭辯。多指對長輩而言。
應喙應舌,ìn-chhùi-ìn-chi̍h,[動詞] 頂嘴、還嘴。爭辯，多指對長輩而言。
戲棚,hì-pêⁿ/hì-pîⁿ,[名詞] 戲臺。演野臺戲時在廟前或廣場臨時搭建的臺子。
擘開,peh-khui,[動詞] 剝開。用手強制將東西分開。
戲園,hì-hn̂g,[名詞] 戲院。出售門票，放映電影或演出戲劇、歌舞等，以供觀眾欣賞的場所。
彌補,mí-pó͘,[動詞] 補足、補償。
應話,ìn-ōe,"[動詞] 答話。
[動詞] 頂嘴。爭辯，多指對長輩而言。"
應該,eng-kai,"[副詞] 應當。理所當然，分內所應為。
[副詞] 活該。"
應該然,eng-kai-jiân/eng-kai-liân,[副詞] 理所當然、應該。
應酬,èng-siû,[名詞] 與人交際，往來酬酢。人和人彼此往來、聚會交流。
擤鼻,chhèng-phīⁿ,[動詞] 手捏住鼻子，用力噴氣讓鼻涕排出。
戲劇,hì-kio̍k,[名詞] 透過演員將某種故事或某種情節，以動作、歌唱或對白等方式表演出來的藝術。
懂嚇,táng-hiahⁿ,"[形容詞] 受驚害怕。
[形容詞] 冒失、莽撞。"
應聲,ìn-siaⁿ,"[動詞] 回答。
[名詞] 回音、回聲。"
幫贊,pang-chān,[名詞] 幫忙、幫助。替人出力、出主意或給予物質精神上的支援。
戲齣,hì-chhut,[名詞] 戲碼。演出的戲劇名稱。
壓霸,ah-pà,[形容詞] 惡霸。霸道、蠻橫不講理。
應驗,èng-giām,[動詞] 心裡想要的期望達成了。
檀,tôaⁿ,[名詞] 木本植物。落葉喬木，分佈於亞洲東南部和南太平洋島上，質地堅硬，主幹與根部都可提煉出芳香油，可製成香料及藥材。木材質地細密，可做成家具、器物或雕刻等，香味可維持數年之久。
檔,tóng,"[名詞] 政府、官署的公文、卷宗。
[名詞] 泛指各種分類保存的文件，以及電腦中的各項組合資料。
[名詞] 檔期。"
檠,kiâⁿ,"[名詞] 淺籃子的堅硬外緣。
[名詞] 器物的半圓形提把。"
檨,soāiⁿ,[名詞] 芒果。瓜果類。長橢圓形，熟時黃色，五月下旬開始成熟。有「金煌」、「愛文」等品種。
檨仔,soāiⁿ-á,[名詞] 芒果。瓜果類。葉在小枝上為螺旋排列，嫩時帶暗紫色，老則呈暗綠色，長橢圓形或長披針狀。圓錐花序頂生，花小形，黃色。果實也叫做「檨仔」，長橢圓形，熟時黃色，五月下旬開始成熟。有「金煌」、「愛文」等品種。
檨仔青,soāiⁿ-á-chheⁿ/soāiⁿ-á-chhiⁿ,[名詞] 情人果、青芒果。採尚未成熟的青芒果，切片醃鹽後再醃白糖，冷凍結冰後，是一道又酸又甜的消暑食品。
檢定,kiám-tēng,"[動詞] 檢驗、判定、考試。
[名詞] 考試、檢測。一種考試的種類名稱。"
檢采,kiám-chhái,[副詞] 如果、或許、萬一、說不定。
殭屍,khiong-si,[名詞] 殭屍。人死後，由於埋葬地點乾燥、有防腐吸溼設備等因素而致屍體僵硬不腐時稱為「殭屍」。
曖昧,ài-māi,[名詞] 不明朗、不清白、不光明正大；通常指男女之間有不正常的關係。
檢查,kiám-cha,[動詞] 檢驗查看。
檔案,tóng-àn,"[名詞] 分類保存的各種文件和資料。
[名詞] 電腦中相關資料的組合。"
檢討,kiám-thó,[動詞] 檢驗探討。
檢察官,kiám-chhat-koaⁿ,[名詞] 代表國家實施犯罪偵察、提起公訴、指揮刑事裁判的執行及執行其他法令所定職務的司法人員。
檢舉,kiám-kí/kiám-kú,[動詞] 舉發別人的行為過失或違法的事情。
檢點,kiám-tiám,"[動詞] 指道德行為的自我約束、自愛。
[動詞] 審慎仔細的檢查、檢驗。"
檢驗,kiám-giām,[動詞] 檢查、查驗。
澀,siap,"[形容詞] 味道微苦不甘美、滑溜。
[形容詞] 吝嗇、小氣。
[形容詞] 形容眼睛因長時間工作，缺乏淚液滋潤，而產生的不舒服的感覺。"
溼,sip,"[形容詞] 含有微量水分而覺得潮溼不乾爽。
[動詞] 變潮溼。
[動詞] 將布、紙等物品沾水。"
濟,chē/chōe,[形容詞] 多。
濫,lām,[動詞] 摻。混合、摻雜。
營,iâⁿ,"[名詞] 軍隊駐紮的地方。
[名詞] 活動聚集的場所。
[量詞] 計算編制單位。"
營,êng,[動詞] 管理。
燥,sò,[形容詞] 中醫用語，稱食物或藥物具有熱、烈的性質。
燭,chek,"[名詞] 以油蠟製成，能點火照明之物。
[量詞] 計算光度的單位。"
燭,chiok,[名詞] 以油蠟製成，能點火照明之物。
牆,chhiûⁿ,[名詞] 以磚、水泥、木板或其他建材砌成，用以遮蔽或隔間的建築物。
濟少,chē-chió/chōe-chió,[副詞] 多多少少。
燥水,sò-chúi,[動詞] 缺乏水分、水分蒸發。
牆仔,chhiûⁿ-á,[名詞] 圍牆。頂端無蓋，不能擋風雨，只做為分界的牆。
燭台,chek-tâi,[名詞] 燭臺。用來插蠟蠋的器具，多用銅錫等製成。
濫使,lām-sú,[動詞] 亂來。胡搞瞎搞、胡做非為。
牆圍,chhiûⁿ-ûi,[名詞] 圍牆。
營業,êng-gia̍p,[動詞] 以營利為目的的事業，通常指經商或是做生意。
濟話,chē-ōe/chōe-ōe,[形容詞] 多話、多嘴。形容一個人的話太多、愛搬弄是非。
營養,êng-ióng,[名詞] 養分。
澩澩,ha̍uhⁿ-ha̍uhⁿ,[形容詞] 指吃不熟的芋頭、蘿蔔等的口感。
溼溼,sip-sip,[形容詞] 微溼、溼潤。
濟濟,chē-chē/chōe-chōe,[形容詞] 很多、數量眾多。
濫糝,lām-sám,[副詞] 隨便、胡亂來。
燦爛,chhàn-lān,[形容詞] 光彩美麗。
環,khoân,[名詞] 圓形而中空的物品。
癀,hông,"[名詞] 毒素，也指因毒素引發的發炎症狀。
[名詞] 銅綠。銅氧化後產生的鏽。"
癉,tan,[形容詞] 單薄。瘦弱而發育不良的樣子。
癌,gâm,[名詞] 病名。人體細胞產生不正常增生，成為惡性腫瘤，會在體內轉移，並危及性命。
盪,tn̄g,[動詞] 用清水稍微清洗一下。
瞪,tèⁿ/tìⁿ,"[動詞] 使力、用力。特別指藉著憋氣來使力的用力方式。
[動詞] 用力睜大眼睛。"
瞭,lió,[動詞] 眼睛快速掃過，瞄一下的意思。
礁,ta,[名詞] 暗藏在海或河中的岩石。
禪,siân,[名詞] 佛教的修行方法之一，本意為「靜思」，今常泛指有智慧、有深意的事物。
瞪力,tèⁿ-la̍t/tìⁿ-la̍t,[動詞] 用力、使力。特別是指憋住呼吸以增加力氣的使力方式。
磺水,hông-chúi,[名詞] 溫泉、溫泉水。臺灣北部的溫泉多為硫磺泉，所以稱溫泉為「磺水」。
磺火,hông-hóe/hông-hé,[名詞] 硫磺瓦斯燈。
瞪屎,tèⁿ-sái/tìⁿ-sái,[動詞] 用力排便。
環境,khoân-kéng,"[名詞] 周圍地方的狀況。
[名詞] 泛指地表上影響人類及其他生物賴以生活、生存的空間、資源以和其他相關的綜合事物。"
療養,liâu-ióng,[動詞] 治療調養。
穗,sūi,"[名詞] 植物莖的頂端結成的成串果實。
[量詞] 計算成串果實的單位。"
篷,phâng,"[名詞] 可以遮陽、擋雨的簡易遮蔽物。
[量詞] 計算整車或整船東西的單位。
[量詞] 計算人群數量的單位。"
篾,bi̍h,[名詞] 薄薄的竹片，可用來編織物品。
