漢字,羅馬字,詞性/解說
上午,siōng-ngó͘,[時間詞] 清晨到中午之間。
上天,siōng-thian,[名詞] 上蒼。對具有無窮力量的天或是天上神明的總稱。
上手,chiūⁿ-chhiú,"[副詞] 對技術或工作已掌握熟練，駕馭自如。
[動詞] 到手、得逞。"
上水,chhiūⁿ-chúi,[動詞] 從水井裡取水上來。
下午,hā-ngó͘,[時間詞] 中午過後的時間，指中午十二點到黃昏前的一段時間。
下手,hē-chhiú,[動詞] 動手去做。
下手,ē-chhiú,"[名詞] 商業活動中買進貨物的人。
[名詞] 手下。"
下水,hā-súi,[名詞] 內臟。雞、鴨等禽類動物的內臟。
土木,thó͘-bo̍k,[名詞] 指道路、橋樑或建築物的興建、改建、維護等工作。
大方,tāi-hong,"[形容詞] 慷慨不小氣。
[形容詞] 舉止得體合宜、不矯飾，有大家風範。"
大日,tōa-ji̍t/tōa-li̍t,"[名詞] 吉日。指適合婚喪嫁娶的好日子。
[名詞] 烈日。"
大月,tōa-goe̍h/tōa-ge̍h,"[名詞] 國曆三十一天或者農曆三十天的月分。
[名詞] 指生意的旺季。"
寸尺,chhùn-chhioh,[名詞] 尺寸、法度。
小心,sió-sim,[形容詞] 注意、留意。
小月,sió-goe̍h/sió-ge̍h,"[名詞] 農曆之中，只有二十九天的月份。
[名詞] 生意清淡的月份。"
小木,sió-ba̍k,[名詞] 做家具的木工。相反的，「大木」(tōa-ba̍k)是建築房屋的木工。
工夫,kang-hu,"[名詞] 中國功夫。即特殊武術、工技。
[形容詞] 做工精密細膩。
[名詞] 技術、本領、造詣。
[形容詞] 禮數多。"
三太子,Sam-thài-chú,[名詞] 即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。
上尺工,siāng-chhe-kong,[名詞] 標示在工尺譜上的音階名。「上」表示首調唱名法中的Do，「尺」表示首調唱名法中的Re，「工」表示首調唱名法中的Mi。
三心兩意,sam-sim-lióng-ì,[熟語] 形容猶豫不決，意志不堅。
大心氣,tōa-sim-khùi,[動詞] 呼吸急促，喘不過氣來。
千斤秤,chhian-kin-chhìn/chhian-kun-chhìn,[名詞] 千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。
三文魚,sam-bûn-hî/sam-bûn-hû,[名詞] 指鮭魚。過去常用來製成罐頭。借自英語salmon。
下水湯,hā-súi-thng,[名詞] 用雞、鴨等禽類動物的內臟及佐料所做成的湯品。
