編號,語法點,例句
024-06,| 莫 | mài | 表示禁止或勸阻，即「不要」。 |,"['莫緊張，我的借你。', '莫啦！莫啦！......', '莫問！你會驚。', '有一算一，莫想欲佮人比，', '莫啦！莫啦！我是咧講笑的呢！', '鼻仔捏咧莫喘氣，']"
025-01,| [假設] | [ká-siat] | 假設用法，包含若、準、若準、準若、準講、若是、假使、假設、設使等等 ，表示「如果、若」。 |,"['設使伊有繼續讀，我敢猶會當成做第一名？', '若想起咱臺灣，話就講袂完。', '若是一般問題正常會跳入去後台的設定畫面', '若準天氣毋是......', '準若無蓋濟，看起來猶是會騙得人，', '假使這是我日後欲行的路，我相信你會幫贊我，', '若準天氣毋是遐熱，我足想欲建議你騎自輪車去。', '準講到時厝地真正若予人拍賣去，阮和欲蹛就無所在，']"
026-01,| [動詞]--咧 | [tōng-sû]--leh | 表動作持續進行，大致同華語[動詞]+著。 |,"['跳起去共阿吉𢯾咧，', '棕蓑穿咧，家己的安全著斟酌。', '籃仔囥咧，一......', '兩枝拐仔托咧，hap來到大門口，', '籃仔囥咧，一个一个跔踮田裡。']"
026-02,| [動詞1]+咧+[動詞2] | [tōng-sû (1)]+leh+[tōng-sû (2)] | 維持動詞1的狀態做動詞2的動作。 |,"['攏會偷偷仔綴去覕咧看伊有佮別的查埔人講話無？', '俊生接咧講：', '無，就是勼咧睏，睏甲一圈肚比Becca較大！', '伊紲咧講無仝國的語言，', '頭前有人向邊仔步道一直行，阮就綴咧行，']"
026-03,| （當）佇咧+[動詞] | (tng)-tī-teh+[tōng-sû] | 表示正在進行一項動作或持續一種狀態。「當」的作用為強調正在進行中，可省略；「佇咧」常有不同的合音形式。 |,"['當咧煩惱袂煞的時陣，雄雄聽著氣象報告', '[當咧]捷運新莊線當咧施工，', '原來是咧拆裝潢！', '海水靜靜仔咧流。', '[咧]燈咧爍，有無？', '[佇咧]如今我嘛看著阿母佇咧煮糜的背影，', '今仔想欲共你......', '今仔想欲共你講竹仔湖的紫陽花當咧開呢！']"
027-01,| 較……咧 | khah...--leh | 祈使句。「咧」是「一下」的合音。 |,"['意思是講做人做事著較差不多咧，', '上好閃較邊仔咧，', '緊捾水來！較緊咧！', '欲試食嘛愛較有站節咧才著啊！', '你有要緊無？較忍耐咧喔！', '明仔載你著愛較早來咧。']"
028-01,| [動詞重疊]+--咧 | [tōng-sû têng-tha̍h]--leh | 短時貌，即進行的動作有快速、稍微等意思。 |,"['凊彩捋捋咧就會使出門囉！', '需要去病院做復健治療，共頷頸搝搝咧。', '共囥佇路邊的回收物抾抾咧，', '欲講話愛先經過頭殼想想咧，', '我是小等欲出門，趕欲先洗身軀洗洗咧，']"
029-01,| 偌+[形容]+咧 | gōa+[hêng-iông]+--leh | 表達對該形容詞的強調。「偌」可用「gŏa-nī-á」及其他不同音變來增加強度。 |,"['伊一个孤單老人毋知欲偌爾仔寂寞咧？', '是偌爾仔歡喜你敢知影，', '我才知影阮小弟偌𠢕咧！', '會當同齊出來𨑨迌，毋知偌好咧。', '自我紅紅幼幼晟到今，毋知有偌辛苦咧。']"
030-01,| 欲1 | beh(1) | 表意願的「要」，動詞。 |,"['欲啥步，「酒、色、財、氣」空，', '這款子弟現此時是窒倒街，你敢欲！', '哭欲一台細台的跤踏車。', '看欲啥物型就用啥物貯，', '同學攏有所費通好買四秀仔，我嘛欲！']"
030-02,| 欲2+[動詞] | beh(2)+[tōng-sû] | 表示意願的「要」，助動詞。 |,"['莫想欲佮人比，', '我欲買一斤。', '你欲揣啥物人？', '伊想欲共阿兄講啥物？', '我欲報名。', '有人想欲約你食飯，']"
030-03,| （咧）欲3 | (teh-)beh(3) | 表將要、快要、接近。 |,"['對宜蘭盤過欲半个臺灣，來到高雄，', '我提早欲半點鐘到現場，', '閣共訂兩套欲倚色的大紅，', '嘛騎欲五萬五千公里矣，', '台中市咧欲成做台灣第二大城市', '煞嘛忝甲欲害去。', '敢若小可有欲變歹天的款。', '咧欲袂赴讀冊矣呢，猶毋起來。', '知影家己欲生矣，']"
030-04,| （若）欲4 | beh(4) | 表示若是、若要、該有等假設的語氣。 |,"['欲好龜𬦰壁，欲敗水崩山。', '毋過若欲收成較濟閣多利，', '茶欲好啉著第二泡。', '欲我，早就佮伊變面矣。', '總是高雄若欲成做閣較理想的工場地區，']"
030-05,| 欲5 | beh(5) | 加在疑問詞前以加強語氣。 |,"['欲哪靜會落心來讀冊呢？', '若出喙就講別人的話，欲哪有家己的文化？', '無掖種欲哪會當向望收成。', '像你按呢儉死錢，是欲按怎會好額？', '事業欲呔會放心放予𪜶去扞？']"
031-01,| 就1 | tō(1) | 連接詞，表示前後句有承接、選擇、讓步等關係。 |,"['只要戇戇仔食、就會戇戇仔大，', '有生就有死。', '干焦想著就予人流喙瀾。', '搬來了就開始做生理，', '「這款，毛直直洗了就虯去。', '人若無病疼，人就清爽；', '我若欲出門，伊就直直哀，', '逐工若是看著我，就足有精神的，']"
031-02,| 就2 | tō(2) | 副詞，表示立刻發生、確認肯定、早已存在、相對差異等語意。 |,"['無啦，伊連鞭就出來啦。', '對這種小所在......', '對這種小所在，就會當看出政治人物投機的個性，', '另外一班就無遮好運，', '日本時代進前台灣就有在來的咖啡樹，', '我幾年前就有一个想法，']"
032-01,| 一下……（就）…… | chi̍t-ē...(tō)... | 表示兩個動作間的連續狀況，即「一……就……」。 |,"['一下無張持，就著火去。', '𪜶知影欲按佗位拍死本土語言，一下拍就著。', '人一下死就逐項準煞矣。', '局勢一下變，兵敗親像水崩山。', '干焦唚一下就有大紅包，', '局勢一下變，......', '一下無細膩，就會跋對溪仔底落去。']"
033-01,| （[動詞]+）會曉 | ([tōng-sû]+)ē-hiáu | 表學習而來的能力。 |,"['一般攏是干焦會曉聽佮講，袂曉教囝讀寫母語，', '毋過我大漢矣！愛學會曉用錢的鋩角，', '無偌久就會曉騎矣。', '我共預測，小學三年進前應該會曉五種話矣。', '請問，你會曉講台灣話袂？']"
